nav,key,n,evidence,response,leaves,mean_time,mean_in,mean_out
selfconsistency runs3,4b273ed49cf6,30,0.227,0.353,2.633,1465.701,10698.233,6980.8
beam w2,9085b5a451d9,30,0.202,0.397,2.433,74.89,7586.3,4969.3
beam w3,c286730363b3,30,0.179,0.448,4.333,111.381,11804.6,7444.4
beam w3 L8,5ff1d952cc30,30,0.177,0.485,4.4,108.654,11806.667,7442.833
beam w3 qexp,08d787f65c31,30,0.17,0.354,3.633,120.8,13534.3,8653.1
bestfirst budget12,9ed46118f343,30,0.169,0.314,1.467,62.998,5476.533,3629.7
baseline,1a3ff55cca38,30,0.162,0.296,2.367,73.333,12883.067,4548.533
